stop_code,stop_id,stop_lat,stop_lon,stop_name,zone_id
DC3745,10183,28.7054,77.2231666666667,Balak Ram Hospital,10183
U02656,10184,28.706947,77.224038,Police Station Timarpur,10184
U02705,10185,28.709086,77.22626,Nehru Vihar Crossing,10185
U02737,10186,28.711529,77.228752,Wazirabad Crossing,10186
DC3724,10187,28.710233,77.241367,Gurudwara Nanak Sar,10187
DC3725,10188,28.7189,77.24325,Pusta No 1 Sonia Vihar,10188
DC3727,10189,28.721517,77.243867,Pusta No 2 Sonia Vihar,10189
DC3729,10190,28.725583,77.2448,Pusta No 3 Sonia Vihar,10190
DC3731,10191,28.730183,77.24575,Gatta Factory Sonia Vihar,10191
DC3732,10192,28.7324,77.246233,Sonia Vihar,10192
DC3734,10193,28.734583,77.246633,Pusta No 5 Sonia Vihar,10193
DC3737,10194,28.739367,77.24745,Check Post,10194
DC3738,10195,28.74245,77.246567,Annpurna Mandir,10195
DC3742,10196,28.754767,77.24325,Chauhan Patti (Terminal),10196
DC4197,10197,28.578409,77.058932,NHAI Building/ Dwarka Sec-10 Metro Station,10197
DC4346,10198,28.578591,77.054908,Dwarka Sec-19 Modern School,10198
DC4344,10199,28.574383,77.05115,Amrohi More,10199
DC4342,10200,28.573412,77.048418,St Marry School,10200
DC4340,10201,28.577292,77.035195,Police Post,10201
DC4338,10202,28.578247,77.02915,Qutub Vihar Phase-I Kikar Stand,10202
DC4336,10203,28.57905,77.024348,Jhankar Crossing,10203
DC4334,10204,28.579766,77.021478,Goyla Dairy,10204
DC4332,10205,28.580346,77.019327,Nehru Bus Stand Goyla Dairy,10205
DC4330,10206,28.581816,77.015072,St Thomas School Goyla Vihar,10206
DC4328,10207,28.58327,77.011534,Taj Pur More,10207
DC4324,10208,28.591403,77.000404,Shyam Vihar,10208
U00266,10209,28.591721,76.992877,Goela Dairy Crossing,10209
U00262,10210,28.593389,76.991941,Deenpur Village,10210
U00254,10211,28.596621,76.990298,Durga Vihar,10211
U00249,10212,28.600768,76.988661,BDO Office,10212
U00229,10213,28.60799,76.985536,Chhawla Stand Najafgarh,10213
U00226,10214,28.6103186141233,76.9813376578563,Police Station NajafGarh,10214
U00217,10215,28.617676,76.984284,Dichau Chowk,10215
U00234,10216,28.621747,76.98804,Udaseen Ashram,10216
U00252,10217,28.625259,76.992196,Nirmal Vihar,10217
U00288,10218,28.629304,76.997733,Dichau Kalan Depot,10218
DC0018,10219,28.707525,77.177797,Azadpur Terminal,10219
U01780,10220,28.7139,77.1725,New Sabzi Mandi,10220
U01761,10221,28.715917,77.170867,Adarsh Nagar / Bharola Village,10221
U01699,10222,28.720417,77.166983,Sarai Peepal Thala,10222
DC3598,10223,28.7215333333333,77.166,Mahindra Park,10223
DC3599,10224,28.7251,77.163217,Jahangir Puri GT Road,10224
DC3600,10225,28.7273,77.161583,Jahangir Puri Metro Station,10225
U01582,10226,28.731183,77.158617,GTK Depot,10226
DC3601,10227,28.734723,77.155831,Mukarba Chowk,10227
DC3602,10228,28.738473,77.154112,Mukraba Chowk / Sanjay Gandhi Transport Nagar,10228
U01479,10229,28.752467,77.149383,Libas Pur GT Road,10229
U01464,10230,28.75805,77.14765,Swaroop Nagar GT Road,10230
DC4802,10231,28.76486,77.145315,Gurudwara Siraspur GT Road,10231
DC5178,10232,28.771708,77.142899,Nangli Poona More,10232
DC5180,10233,28.771944,77.121967,Khera Garhi,10233
DC5182,10234,28.771903,77.117675,Khera Kalan School,10234
DC5184,10235,28.772345,77.115104,Khera Kalan Gaon,10235
DC5186,10236,28.773931,77.104022,Rishi Dharmarth Chikitsalaya,10236
DC5188,10237,28.773923,77.102521,Khera Khurd Village,10237
DC5191,10238,28.773761,77.09241,Khera Khurd Nahar Crossing,10238
DC5192,10239,28.783337,77.096637,Naya Bans,10239
DC5194,10240,28.793447,77.095545,Mann School,10240
DC5096,10241,28.795391,77.097784,Holambi Khurd DRID College,10241
DC5098,10242,28.799721,77.096011,Holambi Khurd,10242
DC5100,10243,28.801883,77.096003,Holambi Kalan Terminal,10243
DC4996,10244,28.809564,77.107095,Holambi Kalan Crossing,10244
DC4998,10245,28.817688,77.102397,Shahpur Garhi,10245
DC5002,10246,28.821204,77.100678,DSIDC Narela,10246
DC5004,10247,28.829162,77.094509,Bhor Garh,10247
DC5006,10248,28.833012,77.093266,Babu Jag Jeevan Ram Colony,10248
DC4537,10249,28.845328,77.088967,Old Anaj Mandi,10249
DC4538,10250,28.847045,77.088366,Narela Primary School,10250
DC4364,10251,28.779253,77.179936,Keshav Nagar Mukti Ashram,10251
DC4362,10252,28.775793,77.179669,Ibrahim Pur More,10252
DC3796,10253,28.768883,77.180783,Natthupura Crossing Terminal,10253
U01942,10254,28.7645,77.1838,Amrit Vihar Colony,10254
U02050,10255,28.761167,77.188717,Koushik Enclave,10255
U02086,10256,28.76015,77.1910833333333,Laxmi Vihar,10256
DC0054,10257,28.7555,77.1983,Ekta Garden Harijan Basti,10257
U02216,10258,28.7541,77.199,Burari Village,10258
U02214,10259,28.7492333333333,77.1985666666667,Sarvodhya Vidhyalay Burari,10259
U02200,10260,28.7467,77.1983,Balti Factory,10260
U02182,10261,28.7418,77.198,Sant Nagar Main Market,10261
U02160,10262,28.7377,77.1973,Sant Nagar A1,10262
U02169,10263,28.734483,77.197717,Jharoda Dairy Crossing,10263
U02199,10264,28.730567,77.198467,Burari Transport Authority,10264
U02185,10265,28.72773,77.198067,Nirankari Sarover,10265
DC0055,10266,28.72095,77.20015,CV Raman ITI,10266
U02301,10267,28.714883,77.2041,Nirankari Colony,10267
U02327,10268,28.7112333333333,77.2045,Radio Colony,10268
U09586,10269,28.706789,77.204733,Dhaka Village,10269
U02325,10270,28.70458,77.205033,Balmiki Gandhi Ashram,10270
U02318,10271,28.700567,77.205017,TB Hospital,10271
U02350,10272,28.698294,77.206554,GTB Nagar,10272
U02613,10273,28.690202,77.221419,Khyber Pass,10273
U02620,10274,28.687634,77.221672,Vidhan Sabha Metro Station,10274
U02628A,10275,28.683891,77.222282,Old Secretariat (Postal Account Office),10275
U99851,10276,28.679703,77.223955,IP College,10276
DC3689,10277,28.676602,77.225033,Exchange Store / Civil Lines Metro Station,10277
U02700,10278,28.672405,77.226008,Ludlow Castle,10278
DC3596,10279,28.668479,77.226269,ISBT Nityanand Marg,10279
